input,output,type,expected_answer,generated_answer,difficulty,source_examples,timestamp,verification_status,solution,extracted_expression,explanation,all_options
Площа трикутника,"На малюнку зображено трикутник ABC, де BC є основою, а висота, проведена до основи з вершини A, дорівнює 8 см. Сторона BC трикутника дорівнює 12 см.  Знайди площу цього трикутника.

[Вставте малюнок трикутника ABC з позначеною основою BC і висотою, проведеною до неї з вершини A]

##",task,48,Площа трикутника ABC дорівнює 48 см².,easy,"['merzlyak-ag-geometriya-pochatok-vyvch-na-poglyb-rivni-z-8-kl-prof-riven-11-kl.pdf', 'Мерзляк_Якір_Геометрія_7кл..pdf', 'merzlyak-ag-geometriya-pochatok-vyvch-na-poglyb-rivni-z-8-kl-prof-riven-11-kl.pdf']",2025-12-23T15:54:30.880871,verified,"Щоб знайти площу трикутника, використовуємо формулу:

**Площа = (Основа * Висота) / 2**

У нашому випадку:

* Основа (BC) = 12 см
* Висота (з вершини A) = 8 см

Підставляємо ці значення в формулу:

Площа = (12 см * 8 см) / 2 = 96 см² / 2 = 48 см²

##",48,,
Площа трикутника,"На рисунку показано трикутник ABC. Відомо, що BC = 12 см, а висота, проведена з вершини A до основи BC, дорівнює 8 см. Знайдіть площу цього трикутника.

[Вставте малюнок трикутника ABC з позначенням сторін та висоти]


##",task,48,Площа трикутника ABC дорівнює 48 см².,medium,"['merzlyak-ag-geometriya-pochatok-vyvch-na-poglyb-rivni-z-8-kl-prof-riven-11-kl.pdf', 'Мерзляк_Якір_Геометрія_7кл..pdf', 'merzlyak-ag-geometriya-pochatok-vyvch-na-poglyb-rivni-z-8-kl-prof-riven-11-kl.pdf']",2025-12-23T15:54:39.644155,verified,"1. **Формула площі трикутника:** Площу трикутника можна обчислити за формулою: S = (a * h) / 2, де a - основа трикутника, h - висота, проведена до цієї основи.
2. **Задані значення:** У нашому випадку a = BC = 12 см, h = 8 см.
3. **Обчислення площі:** Підставимо значення в формулу: S = (12 * 8) / 2 = 96 / 2 = 48 см².

##",48,,
Площа трикутника,"На площині зображено трикутник ABC, де AB = 12 см, BC = 18 см, AC = 15 см. Відстань від вершини C до сторони AB дорівнює 5 см.  Знайдіть площу трикутника ABC шляхом розв'язання задачі кількома різними методами.

##",task,74,"Площа трикутника ABC:  ≈ 78.74 см² 

**Примітка:**  Залежно від обраного методу, площа трикутника може бути зазначена з різною точністю.",hard,"['merzlyak-ag-geometriya-pochatok-vyvch-na-poglyb-rivni-z-8-kl-prof-riven-11-kl.pdf', 'Мерзляк_Якір_Геометрія_7кл..pdf', 'merzlyak-ag-geometriya-pochatok-vyvch-na-poglyb-rivni-z-8-kl-prof-riven-11-kl.pdf']",2025-12-23T15:55:15.920305,verified,"**1. Метод Герона:**

*  **Крок 1:** Знайдемо півпериметр трикутника: 
   p = (AB + BC + AC) / 2 = (12 + 18 + 15) / 2 = 22.5 см

* **Крок 2:** За формулою Герона обчислимо площу трикутника:
   S = √(p(p - AB)(p - BC)(p - AC)) = √(22.5(22.5 - 12)(22.5 - 18)(22.5 - 15)) = √(22.5 * 10.5 * 4.5 * 7.5) ≈ 78.74 см²

**2. Метод висоти:**

* **Крок 1:**  Нехай CH - висота, проведена з вершини C до основи AB.  Вже відомо, що CH = 5 см.

* **Крок 2:**  Знайдемо довжину основи AB: AB = 12 см.

* **Крок 3:**  За формулою площі трикутника обчислимо площу:
   S = (1/2) * AB * CH = (1/2) * 12 * 5 = 30 см²

**3. Метод поділу на дві частини:**

* **Крок 1:**  Поділимо трикутник ABC на дві менші трикутники (наприклад, навпіл за допомогою медиани, проведеної з вершини C).

* **Крок 2:**  Обчислимо площу кожного з двох менших трикутників, використовуючи один з методів (наприклад, метод висоти або Герона).

* **Крок 3:**  Сумма площ двох менших трикутників дорівнює площі трикутника ABC.


##",74,,
Площа трикутника,"Яка площа рівнобедреного трикутника, якщо його основа дорівнює 12 см, а бічна сторона — 10 см?
A) 30 см²
B) 60 см²
C) 120 см²
D) 240 см²

**
",quiz,A) 30 см²,30 см²,easy,[],2025-12-23T15:55:23.111631,quiz,,,"** 

Щоб знайти площу трикутника, потрібно помножити його основу на висоту і розділити на 2. У рівнобедреному трикутнику висота з вершини бічної сторони ділить трикутник на два прямокутні трикутники. Використовуючи теорему Піфагора, можна знайти висоту (коротку катет) а потім підрахувати площу.","['30 см²', '60 см²', '120 см²', '240 см²\n\n**']"
Площа трикутника,"У рівнобедреному трикутнику, основа якого дорівнює 12 см, а бічна сторона — 10 см,  обертають навколо прямої, яка проходить через вершину кута при його основі перпендикулярно трикутнику. Яка площа кола, вписаного в цей трикутник?
A) 12π см²
B) 36π см²
C) 60π см²
D) 24π см²
",quiz,A) 12π см²,12π см²,medium,[],2025-12-23T15:55:31.128298,quiz,,,"Щоб знайти площу кола, вписаного в трикутник, потрібно знати його радіус. Для цього спочатку знаходимо висоту рівнобедреного трикутника, яка є і бісектрисою вершини кута при основі. Використовуючи теорему Піфагора, знаходимо довжину висоти, а потім радіус кола (половина висоти). Нарешті, обчислюємо площу кола за формулою: S = π * r².","['12π см²', '36π см²', '60π см²', '24π см²']"
Об'єм кулі,"Маша випікла великий торт у вигляді кулі. Радіус цього торта становить 7 сантиметрів. Скільки сантиметрів кубічних займає цей торт? 

##",task,3,Об'єм торта становить приблизно **1436.03 см³**.,easy,"['Мерзляк та ін. Математика 6 кл. Ч. 1.pdf', 'Істер_Математика_П_7_ч.1.pdf', 'Істер_Математика_П_7_ч.1.pdf']",2025-12-23T15:55:46.888254,verified,"Щоб знайти об'єм кулі, потрібно використати формулу:

**Об'єм кулі = (4/3) * π * r³**

де:

* π ≈ 3.14 (число пі)
* r - радіус кулі

У нашому випадку r = 7 см.

Підставляємо ці значення у формулу:

Об'єм торта = (4/3) * 3.14 * 7³ = (4/3) * 3.14 * 343 = 1436.03 см³

##",03,,
Об'єм кулі,"Куля для гольфу має діаметр 4,2 см.  Який об'єм має ця куля?

##",task,8,"Об'єм кулі для гольфу дорівнює приблизно 38,8 см³.",medium,"['Мерзляк та ін. Математика 6 кл. Ч. 1.pdf', 'Істер_Математика_П_7_ч.1.pdf', 'Істер_Математика_П_7_ч.1.pdf']",2025-12-23T15:55:55.709757,verified,"**1. Знайти формулу об'єму кулі:**

Формула об'єму кулі:  V = (4/3)πr³,  де r - радіус кулі.

**2. Знайти радіус кулі:**

Радіус кулі дорівнює половині діаметру: r = d/2 = 4,2 см / 2 = 2,1 см.

**3. Підставити значення радіуса в формулу об'єму та обчислити:**

V = (4/3) * π * (2,1 см)³ 
V ≈ (4/3) * 3,14 * 9,261 см³
V ≈ 38,8 см³

##",8,,
Об'єм кулі,"У центрі міста збудували новий фонтан у вигляді кулі з чистого металу. Діаметр фонтану становить 4 метри. Згодом, внаслідок корозії, на поверхні фонтану утворився шар металу товщиною 2 сантиметри.  Визначте об'єм металу, який було використано для створення самого фонтану (без урахування корозії).

##",task,68,"Для створення самого фонтану було використано приблизно 0,68 м³ металу.",hard,"['Мерзляк та ін. Математика 6 кл. Ч. 1.pdf', 'Істер_Математика_П_7_ч.1.pdf', 'Істер_Математика_П_7_ч.1.pdf']",2025-12-23T15:56:11.757236,verified,"1. **Переведемо одиниці виміру:** Товщина шару корозії в метрах: 2 см = 0,02 м.

2. **Обчислимо радіус нового фонтану:**  Радіус нового фонтану з урахуванням корозії дорівнює діаметру без корозії (4 м) поділеному на 2, плюс товщина корозії: 4 м / 2 + 0,02 м = 2,02 м.

3. **Обчислимо об'єм нового фонтану:** Об'єм кулі обчислюється за формулою (4/3) * π * r³, де r – радіус кулі. Об'єм нового фонтану: (4/3) * π * (2,02 м)³ ≈ 34,19 м³.

4. **Обчислимо об'єм старого фонтану:** Радіус старого фонтану дорівнює діаметру поділеному на 2: 4 м / 2 = 2 м. Об'єм старого фонтану: (4/3) * π * (2 м)³ ≈ 33,51 м³.

5. **Обчислимо різницю об'ємів:** Об'єм металу, використаного для створення самого фонтану, дорівнює різниці об'ємів нового та старого фонтанів: 34,19 м³ - 33,51 м³ ≈ **0,68 м³**.




##",68,,
Об'єм кулі,"Яка формула обчислює об'єм кулі?
A) V = πr
B) V = 4/3πr²h
C) V = 4/3πr³
D) V = πr²h
",quiz,C) V = 4/3πr³,V = 4/3πr³,easy,[],2025-12-23T15:56:17.848794,quiz,,,"У формулі об'єму кулі  r - радіус кулі, а π (пі) - математична константа, яка дорівнює приблизно 3,14. Формули A, B і D належать до інших геометричних тіл.","['V = πr', 'V = 4/3πr²h', 'V = 4/3πr³', 'V = πr²h']"
Об'єм кулі,"Яка формула розрахунку об'єму кулі, де  *r* - радіус кулі?
A) V = π * r * h
B) V = (4/3) * π * r²
C) V = 2 * π * r
D) V = π * r³

##
",quiz,"D) V = π * r³

##","V = π * r³

##",medium,[],2025-12-23T15:56:22.850014,quiz,,,"Формула об'єму кулі  V = (4/3) * π * r³, де r - радіус кулі.  Варіанти A, B та C — формули об'єму інших геометричних тіл.","['V = π * r * h', 'V = (4/3) * π * r²', 'V = 2 * π * r', 'V = π * r³\n\n##']"
Логарифми,"Маєш 250 грам цукру. Ти хочеш поділити його рівномірно на 5 склянок. Яку кількість грамів цукру потрібно додати до кожної склянки, щоб отримати 100 грамів цукру в кожній?


##",task,50,До кожної склянки потрібно додати 50 грамів цукру.,easy,"['ister-algebrapr-p-11ukr-081-18-s.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf']",2025-12-23T15:56:38.596024,verified,"1. **Знайдемо, скільки грамів цукру було в кожній склянці спочатку:** 250 грамів цукру / 5 склянок = 50 грамів цукру на склянку.

2. **Визначимо, скільки грамів цукру потрібно додати до кожної склянки:** 100 грамів цукру (бажана кількість) - 50 грамів цукру (існуюча кількість) = 50 грамів цукру.

##",50,,
Логарифми,"У річці тече острів, який з кожним роком збільшує свої площі. В перший рік острів мав площу 10 гектарів, а кожен наступний рік його площа збільшувалася на 10% від площі попереднього року. Через скільки років площа острова перевищить 50 гектарів?

##",task,50,Через **8 років** площа острова перевищить 50 гектарів.,medium,"['ister-algebrapr-p-11ukr-081-18-s.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf']",2025-12-23T15:57:05.696349,verified,"1. **Означення:** Нехай x - кількість років, через які площа острова перевищить 50 гектарів. 
2. **Формулювання рівняння:** 
    - Площа острова в i-ий рік можна обчислити за формулою: 10*(1+0.1)^(i-1)
    - Нам потрібно знайти найменше x, для якого виконується умова: 10*(1+0.1)^(x-1) > 50
3. **Розв'язання рівняння:**
    - Поділимо обидві сторони нерівності на 10: (1+0.1)^(x-1) > 5
    - Використовуючи логарифми, можемо записати: log(1.1)^(x-1) > log5
    - За властивостями логарифмів: (x-1)*log(1.1) > log5
    - Розділимо обидві сторони на log(1.1): x-1 > log5 / log(1.1)
    - Додамо 1 до обох сторін: x > log5 / log(1.1) + 1
4. **Обчислення:** log5 / log(1.1) + 1 ≈ 7.84

##",50,,
Логарифми,"У фінансовій сфері часто використовують поняття дисконту для оцінки майбутніх доходів. Дисконтний коефіцієнт (DF) визначається за формулою: DF = 1 / (1 + i)^n, де i - процентна ставка за період, n - кількість періодів. 

Товариство планує отримати 10000 євро через 5 років.  

1. Обчисліть дисконтний коефіцієнт, якщо процентна ставка за рік дорівнює 0.05.
2. Яку суму грошей отримає товариство сьогодні, якщо дисконтувати майбутній дохід у 10000 євро за отриманим у пункті 1 дисконтним коефіцієнтом?
3. Якщо товариство хоче отримати 10000 євро через 5 років, але дисконтний коефіцієнт не може бути менше 0.8, яка має бути мінімальною процентною ставкою в рік?

##",task,1.567,"1. Дисконтний коефіцієнт = 0.7835
2. Сума грошей, яку отримає товариство сьогодні = 7835 євро
3. Мінімальна процентна ставка в рік = 4%",hard,"['ister-algebrapr-p-11ukr-081-18-s.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf', 'ister-algebrapr-p-11ukr-081-18-s.pdf']",2025-12-23T15:57:26.976189,verified,"**1.**  

DF = 1 / (1 + i)^n = 1 / (1 + 0.05)^5 = 1 / (1.05)^5 = 1 / 1.27628 = **0.7835**

**2.**

Сума грошей, яку отримає товариство сьогодні, дорівнює дисконтованому майбутньому доходу:

Сума сьогодні = Дисконтований майбутній дохід = 10000 * DF = 10000 * 0.7835 = **7835 євро**.

**3.**

Для того, щоб мінімальний дисконтний коефіцієнт був не менше 0.8, ми маємо розв'язати нерівність:

0.8 ≤ 1 / (1 + i)^5

Щоб знайти i, виконуємо наступні кроки:

* 0.8 ≤ 1 / (1 + i)^5
* (1 + i)^5 ≥ 1 / 0.8
* (1 + i)^5 ≥ 1.25
* 1 + i ≥ 1.25^(1/5)
* i ≥ 1.25^(1/5) - 1

Обчислюємо: 1.25^(1/5) - 1 ≈ 0.040

Отже, мінімальна процентна ставка в рік, щоб дисконтний коефіцієнт був не менше 0.8, дорівнює **4%**.

##","0.7835
2.",,
Логарифми,"Знайдіть значення логарифма:  log₂(8)
A) 2
B) 3
C) 6
D) 16
",quiz,B) 3,3,easy,[],2025-12-23T15:57:31.967105,quiz,,,"Логарифм  log₂(8) запитує, до якої степені потрібно піднести 2, щоб отримати 8.  2³ = 8, тому log₂(8) = 3.","['2', '3', '6', '16']"
Логарифми,"Яке значення логарифму 25 за основою 5?
A) 4
B) 5
C) 2
D) 0.5

**
",quiz,A) 4,4,medium,[],2025-12-23T15:57:35.987535,quiz,,,"** Логарифм - це показник степеня, до якого потрібно піднести основу, щоб отримати дане число. Тобто,  log₅25 = 2, тому що 5² = 25.","['4', '5', '2', '0.5\n\n**']"
